RoundID: 2021-08-03-06-23-29_-_sunset_park
CourseID: sunset_park
CourseName: Sunset Park Las Vegas
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,X,3,36.068734,-115.116787,BUZZBUZZ
1,reg,X,3,36.068675,-115.117689,JUDY
1,reg,X,3,36.068705,-115.117778,JUDY
1,reg,X,3,36.068717,-115.117783,BASKET
2,reg,X,3,36.068946,-115.117812,FLIPPER
2,reg,X,3,36.069940,-115.117782,JUDY
2,reg,X,3,36.069809,-115.117812,JUDY
2,reg,X,3,36.069836,-115.117805,BASKET
3,reg,X,3,36.070109,-115.117110,BARELY_KNOW_HER
3,reg,X,3,36.069953,-115.116309,JUDY
3,reg,X,3,36.069992,-115.116171,JUDY
3,reg,X,3,36.070007,-115.116166,BASKET
4,reg,X,3,36.069627,-115.115502,BARELY_KNOW_HER
4,reg,X,3,36.070632,-115.115285,JUDY
4,reg,X,3,36.070846,-115.115428,JUDY
4,reg,X,3,36.070834,-115.115428,BASKET
5,reg,X,3,36.070652,-115.115062,BUZZBUZZ
5,reg,X,3,36.070894,-115.114119,JUDY
5,reg,X,3,36.070928,-115.114354,JUDY
5,reg,X,3,36.070910,-115.114321,BASKET
6,reg,X,3,36.070911,-115.114057,BARELY_KNOW_HER
6,reg,X,3,36.070608,-115.113204,JUDY
6,reg,X,3,36.070688,-115.112971,JUDY
6,reg,X,3,36.070629,-115.112982,BASKET
7,reg,X,3,36.070524,-115.113276,BARELY_KNOW_HER
7,reg,X,3,36.070724,-115.113805,BUZZBUZZ
7,reg,X,3,36.070947,-115.114244,JUDY
7,reg,X,3,36.070922,-115.114317,BASKET
8,reg,X,3,36.070663,-115.115858,BUZZBUZZ
8,reg,X,3,36.069807,-115.115788,JUDY
8,reg,X,3,36.069908,-115.115810,JUDY
8,reg,X,3,36.069915,-115.115806,BASKET
9,reg,X,3,36.070136,-115.116078,BARELY_KNOW_HER
9,reg,X,3,36.070621,-115.117145,JUDY
9,reg,X,3,36.070559,-115.117120,BASKET
10,reg,X,3,36.070311,-115.117325,BARELY_KNOW_HER
10,reg,X,3,36.071353,-115.117409,JUDY
10,reg,X,3,36.071380,-115.117307,BASKET
11,reg,X,3,36.071398,-115.117638,BARELY_KNOW_HER
11,reg,X,3,36.070405,-115.117829,BUZZBUZZ
11,reg,X,3,36.070231,-115.117647,JUDY
11,reg,X,3,36.070244,-115.117657,BASKET
12,reg,X,3,36.070132,-115.117491,BARELY_KNOW_HER
12,reg,X,3,36.069866,-115.118116,JUDY
12,reg,X,3,36.069854,-115.118403,JUDY
12,reg,X,3,36.069828,-115.118422,BASKET
13,reg,X,3,36.069716,-115.118400,BARELY_KNOW_HER
13,reg,X,3,36.068827,-115.117904,JUDY
13,reg,X,3,36.068898,-115.118272,JUDY
13,reg,X,3,36.068935,-115.118260,BASKET
14,reg,X,3,36.068883,-115.118369,BARELY_KNOW_HER
14,reg,X,3,36.068373,-115.118346,BUZZBUZZ
14,reg,X,3,36.068058,-115.118355,JUDY
14,reg,X,3,36.068016,-115.118324,BASKET
15,reg,X,3,36.067589,-115.117411,BARELY_KNOW_HER
15,reg,X,3,36.067364,-115.118353,JUDY
15,reg,X,3,36.067393,-115.118275,BASKET
16,reg,X,3,36.067122,-115.118019,BARELY_KNOW_HER
16,reg,X,3,36.066568,-115.117837,BARELY_KNOW_HER
16,reg,X,3,36.065853,-115.118361,JUDY
16,reg,X,3,36.065748,-115.118200,JUDY
16,reg,X,3,36.065769,-115.118218,BASKET
17,reg,X,3,36.065627,-115.118197,BUZZBUZZ
17,reg,X,3,36.064826,-115.118026,JUDY
17,reg,X,3,36.064804,-115.118148,JUDY
17,reg,X,3,36.064810,-115.118170,BASKET
18,reg,X,3,36.064578,-115.117770,BARELY_KNOW_HER
18,reg,X,3,36.064233,-115.116762,JUDY
18,reg,X,3,36.064286,-115.116420,JUDY
18,reg,X,3,36.064269,-115.116446,BASKET
19,reg,X,4,36.064481,-115.116463,BARELY_KNOW_HER
19,reg,X,4,36.064167,-115.115288,BUZZBUZZ
19,reg,X,4,36.064317,-115.114716,JUDY
19,reg,X,4,36.064285,-115.114797,BASKET
20,reg,X,3,36.064440,-115.114840,BUZZBUZZ
20,reg,X,3,36.064620,-115.115534,BUZZBUZZ
20,reg,X,3,36.064726,-115.115882,JUDY
20,reg,X,3,36.064733,-115.115892,BASKET
21,reg,X,3,36.064559,-115.116553,BARELY_KNOW_HER
21,reg,X,3,36.064645,-115.116936,BARELY_KNOW_HER
21,reg,X,3,36.064843,-115.117218,BUZZBUZZ
21,reg,X,3,36.065069,-115.117564,JUDY
21,reg,X,3,36.065093,-115.117591,BASKET
22,reg,X,3,36.064531,-115.117872,BARELY_KNOW_HER
22,reg,X,3,36.065405,-115.117816,JUDY
22,reg,X,3,36.065547,-115.117999,JUDY
22,reg,X,3,36.065571,-115.117944,BASKET
23,reg,X,3,36.066089,-115.117866,BARELY_KNOW_HER
23,reg,X,3,36.066990,-115.117930,BUZZBUZZ
23,reg,X,3,36.067192,-115.117647,JUDY
23,reg,X,3,36.067203,-115.117743,BASKET
24,reg,X,3,36.066639,-115.117408,BARELY_KNOW_HER
24,reg,X,3,36.067497,-115.117583,JUDY
24,reg,X,3,36.067431,-115.117466,JUDY
24,reg,X,3,36.067450,-115.117485,BASKET
