RoundID: 2021-08-04-05-53-07_-_wild_horse
CourseID: wild_horse
CourseName: Wild Horse Golf Club Las Vegas
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,X,3,36.060226,-115.081569,BARELY_KNOW_HER
1,reg,X,3,36.061202,-115.081101,JUDY
1,reg,X,3,36.061191,-115.080852,JUDY
1,reg,X,3,36.061195,-115.080764,BASKET
2,reg,X,4,36.061282,-115.080565,BARELY_KNOW_HER
2,reg,X,4,36.062457,-115.080831,BUZZBUZZ
2,reg,X,4,36.063018,-115.081451,JUDY
2,reg,X,4,36.063020,-115.081371,BASKET
3,reg,X,3,36.063139,-115.081086,BARELY_KNOW_HER
3,reg,X,3,36.062529,-115.080283,JUDY
3,reg,X,3,36.062425,-115.080324,BASKET
4,reg,X,3,36.062845,-115.080375,BARELY_KNOW_HER
4,reg,X,3,36.063684,-115.080673,JUDY
4,reg,X,3,36.063673,-115.080779,JUDY
4,reg,X,3,36.063663,-115.080795,BASKET
5,reg,X,3,36.063932,-115.080734,BARELY_KNOW_HER
5,reg,X,3,36.064691,-115.080088,BUZZBUZZ
5,reg,X,3,36.064792,-115.079583,JUDY
5,reg,X,3,36.064742,-115.079484,JUDY
5,reg,X,3,36.064763,-115.079538,BASKET
6,reg,X,4,36.064816,-115.080316,BARELY_KNOW_HER
6,reg,X,4,36.065408,-115.078859,BUZZBUZZ
6,reg,X,4,36.065116,-115.077854,JUDY
6,reg,X,4,36.064963,-115.077811,JUDY
6,reg,X,4,36.064983,-115.077835,BASKET
7,reg,X,3,36.065514,-115.078500,BARELY_KNOW_HER
7,reg,X,3,36.065388,-115.077175,JUDY
7,reg,X,3,36.065266,-115.076963,JUDY
7,reg,X,3,36.065295,-115.076996,BASKET
8,reg,X,3,36.065604,-115.077662,BARELY_KNOW_HER
8,reg,X,3,36.066011,-115.076448,JUDY
8,reg,X,3,36.066046,-115.076295,JUDY
8,reg,X,3,36.066055,-115.076311,BASKET
9,reg,X,3,36.065735,-115.076054,BARELY_KNOW_HER
9,reg,X,3,36.064913,-115.076525,BUZZBUZZ
9,reg,X,3,36.064735,-115.076884,JUDY
9,reg,X,3,36.064760,-115.076810,JUDY
9,reg,X,3,36.064756,-115.076798,BASKET
10,reg,X,3,36.064736,-115.076224,BARELY_KNOW_HER
10,reg,X,3,36.064017,-115.076966,JUDY
10,reg,X,3,36.063912,-115.077045,JUDY
10,reg,X,3,36.063909,-115.077043,BASKET
11,reg,X,3,36.063654,-115.076440,BARELY_KNOW_HER
11,reg,X,3,36.063079,-115.077437,JUDY
11,reg,X,3,36.063027,-115.077397,BASKET
12,reg,X,4,36.063169,-115.077794,BARELY_KNOW_HER
12,reg,X,4,36.064181,-115.077392,BUZZBUZZ
12,reg,X,4,36.064680,-115.076928,JUDY
12,reg,X,4,36.064863,-115.077204,JUDY
12,reg,X,4,36.064862,-115.077193,BASKET
13,reg,X,5,36.064693,-115.077826,BARELY_KNOW_HER
13,reg,X,5,36.063768,-115.077858,BARELY_KNOW_HER
13,reg,X,5,36.063037,-115.078332,BUZZBUZZ
13,reg,X,5,36.062652,-115.079050,BUZZBUZZ
13,reg,X,5,36.062493,-115.079613,JUDY
13,reg,X,5,36.062509,-115.079565,BASKET
14,reg,X,3,36.062181,-115.078914,BARELY_KNOW_HER
14,reg,X,3,36.062071,-115.079808,JUDY
14,reg,X,3,36.062083,-115.080197,JUDY
14,reg,X,3,36.062094,-115.080163,BASKET
15,reg,X,4,36.061511,-115.079549,BARELY_KNOW_HER
15,reg,X,4,36.061777,-115.078202,BARELY_KNOW_HER
15,reg,X,4,36.062240,-115.077629,JUDY
15,reg,X,4,36.062133,-115.077596,JUDY
15,reg,X,4,36.062157,-115.077608,BASKET
16,reg,X,3,36.062196,-115.077411,BARELY_KNOW_HER
16,reg,X,3,36.062370,-115.076429,JUDY
16,reg,X,3,36.062234,-115.076138,JUDY
16,reg,X,3,36.062239,-115.076130,BASKET
