RoundID: 2021-08-17-06-32-08_-_kit_carson
CourseID: kit_carson
CourseName: Kit Carson
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,B,3,33.079341,-117.058583,FLIPPER
1,reg,B,3,33.080132,-117.057781,JUDY
1,reg,B,3,33.080085,-117.057602,JUDY
1,reg,B,3,33.080095,-117.057603,BASKET
2,reg,C,3,33.079676,-117.057618,FLIPPER
2,reg,C,3,33.078815,-117.057516,JUDY
2,reg,C,3,33.078560,-117.057422,JUDY
2,reg,C,3,33.078607,-117.057510,JUDY
2,reg,C,3,33.078599,-117.057485,BASKET
3,reg,A,3,33.079355,-117.057288,FLIPPER
3,reg,A,3,33.080330,-117.057596,JUDY
3,reg,A,3,33.080313,-117.057399,JUDY
3,reg,A,3,33.080317,-117.057442,BASKET
4,reg,A,3,33.080419,-117.057765,BARELY_KNOW_HER
4,reg,A,3,33.079861,-117.058179,JUDY
4,reg,A,3,33.079858,-117.058524,JUDY
4,reg,A,3,33.079896,-117.058408,JUDY
4,reg,A,3,33.079869,-117.058426,BASKET
5,reg,A,3,33.079305,-117.059316,BARELY_KNOW_HER
5,reg,A,3,33.079109,-117.060135,JUDY
5,reg,A,3,33.079141,-117.060168,JUDY
5,reg,A,3,33.079140,-117.060185,BASKET
6,reg,A,3,33.080816,-117.061106,BARELY_KNOW_HER
6,reg,A,3,33.081391,-117.061112,JUDY
6,reg,A,3,33.081402,-117.061125,BASKET
7,reg,A,3,33.081409,-117.060896,BARELY_KNOW_HER
7,reg,A,3,33.081755,-117.061062,BARELY_KNOW_HER
7,reg,A,3,33.082028,-117.061079,JUDY
7,reg,A,3,33.082092,-117.061044,BASKET
8,reg,A,3,33.082243,-117.061013,BARELY_KNOW_HER
8,reg,A,3,33.082581,-117.060871,JUDY
8,reg,A,3,33.082853,-117.060842,JUDY
8,reg,A,3,33.082882,-117.060745,BASKET
8,reg,A,3,33.082899,-117.060744,BASKET
9,reg,A,3,33.083486,-117.060999,JUDY
9,reg,A,3,33.084127,-117.061298,BASKET
9,reg,A,3,33.084126,-117.061307,BASKET
10,reg,A,3,33.084455,-117.061342,JUDY
10,reg,A,3,33.084105,-117.061574,JUDY
10,reg,A,3,33.083804,-117.061515,JUDY
10,reg,A,3,33.083694,-117.061629,BASKET
10,reg,A,3,33.083709,-117.061656,BASKET
11,reg,B,4,33.083426,-117.061863,JUDY
11,reg,B,4,33.084538,-117.061620,JUDY
11,reg,B,4,33.084652,-117.061790,JUDY
11,reg,B,4,33.084679,-117.061797,BASKET
12,reg,A,3,33.084670,-117.061963,BARELY_KNOW_HER
12,reg,A,3,33.084044,-117.062271,JUDY
12,reg,A,3,33.084051,-117.062324,BASKET
13,reg,A,3,33.083715,-117.062250,BARELY_KNOW_HER
13,reg,A,3,33.083011,-117.061815,BARELY_KNOW_HER
13,reg,A,3,33.083000,-117.061885,JUDY
13,reg,A,3,33.082845,-117.062022,JUDY
13,reg,A,3,33.082782,-117.062002,BASKET
14,reg,A,3,33.082548,-117.061303,FLIPPER
14,reg,A,3,33.081713,-117.061180,JUDY
14,reg,A,3,33.081389,-117.061298,JUDY
14,reg,A,3,33.081466,-117.061280,JUDY
14,reg,A,3,33.081491,-117.061267,BASKET
15,reg,A,3,33.081738,-117.061570,BARELY_KNOW_HER
15,reg,A,3,33.081011,-117.061709,JUDY
15,reg,A,3,33.081045,-117.061757,BASKET
16,reg,A,3,33.081176,-117.062135,BARELY_KNOW_HER
16,reg,A,3,33.080596,-117.062576,JUDY
16,reg,A,3,33.080521,-117.062538,JUDY
16,reg,A,3,33.080516,-117.062520,BASKET
17,reg,A,3,33.080498,-117.062244,BARELY_KNOW_HER
17,reg,A,3,33.080215,-117.062155,JUDY
17,reg,A,3,33.079898,-117.062177,JUDY
17,reg,A,3,33.079824,-117.062346,JUDY
17,reg,A,3,33.079835,-117.062358,BASKET
18,reg,A,3,33.079575,-117.062434,FLIPPER
18,reg,A,3,33.079461,-117.061268,JUDY
18,reg,A,3,33.079335,-117.061522,JUDY
18,reg,A,3,33.079348,-117.061567,BASKET
