RoundID: 2021-08-21-10-24-43_-_bijou
CourseID: bijou
CourseName: Bijou Community Park Tahoe
Notes: 

hole,tee,pin,par,lat,lon,disc
5,reg,x,3,38.929892,-119.969539,FLIPPER
5,reg,x,3,38.930500,-119.969824,FLIPPER
5,reg,x,3,38.930795,-119.969912,FLIPPER
5,reg,x,3,38.930810,-119.969897,BASKET
6,reg,x,3,38.931387,-119.969524,FLIPPER
6,reg,x,3,38.931788,-119.970604,FLIPPER
6,reg,x,3,38.931773,-119.970388,FLIPPER
6,reg,x,3,38.931773,-119.970450,BASKET
7,reg,x,3,38.931652,-119.970600,FLIPPER
7,reg,x,3,38.931811,-119.970896,FLIPPER
7,reg,x,3,38.931932,-119.971190,FLIPPER
7,reg,x,3,38.931946,-119.971256,BASKET
8,reg,x,3,38.932066,-119.971201,FLIPPER
8,reg,x,3,38.932190,-119.970425,FLIPPER
8,reg,x,3,38.932159,-119.970389,BASKET
9,reg,x,3,38.932116,-119.970290,FLIPPER
9,reg,x,3,38.932027,-119.969681,FLIPPER
9,reg,x,3,38.932267,-119.968998,FLIPPER
9,reg,x,3,38.932238,-119.969022,BASKET
16,reg,x,3,38.932240,-119.967817,FLIPPER
16,reg,x,3,38.931555,-119.966340,FLIPPER
16,reg,x,3,38.931868,-119.966406,FLIPPER
16,reg,x,3,38.931820,-119.966418,BASKET
17,reg,x,3,38.931205,-119.966632,FLIPPER
17,reg,x,3,38.930467,-119.965784,FLIPPER
17,reg,x,3,38.930255,-119.965818,FLIPPER
17,reg,x,3,38.930255,-119.965776,BASKET
18,reg,x,3,38.930446,-119.966391,FLIPPER
18,reg,x,3,38.929742,-119.966371,FLIPPER
18,reg,x,3,38.929571,-119.966457,FLIPPER
18,reg,x,3,38.929578,-119.966435,BASKET
19,reg,x,3,38.929202,-119.966275,FLIPPER
19,reg,x,3,38.928427,-119.965864,FLIPPER
19,reg,x,3,38.928497,-119.965836,FLIPPER
19,reg,x,3,38.928504,-119.965829,BASKET
20,reg,x,3,38.928360,-119.965788,FLIPPER
20,reg,x,3,38.927546,-119.966073,FLIPPER
20,reg,x,3,38.927463,-119.966272,FLIPPER
20,reg,x,3,38.927512,-119.966251,BASKET
21,reg,x,3,38.927350,-119.966640,FLIPPER
21,reg,x,3,38.927097,-119.965748,FLIPPER
21,reg,x,3,38.927056,-119.965436,FLIPPER
21,reg,x,3,38.927099,-119.965465,BASKET
22,reg,x,3,38.927339,-119.965638,FLIPPER
22,reg,x,3,38.927871,-119.965521,FLIPPER
22,reg,x,3,38.928062,-119.965175,FLIPPER
22,reg,x,3,38.928046,-119.965206,BASKET
23,reg,x,3,38.928140,-119.966311,FLIPPER
23,reg,x,3,38.928908,-119.966483,FLIPPER
23,reg,x,3,38.928942,-119.966437,FLIPPER
23,reg,x,3,38.928960,-119.966482,BASKET
24,reg,x,3,38.929145,-119.966677,FLIPPER
24,reg,x,3,38.929856,-119.967031,FLIPPER
24,reg,x,3,38.930048,-119.967214,FLIPPER
24,reg,x,3,38.930060,-119.967173,BASKET
25,reg,x,3,38.930153,-119.967114,FLIPPER
25,reg,x,3,38.931096,-119.967158,FLIPPER
25,reg,x,3,38.931089,-119.967317,FLIPPER
25,reg,x,3,38.931084,-119.967303,BASKET
26,reg,x,3,38.930790,-119.967657,FLIPPER
26,reg,x,3,38.931251,-119.967665,FLIPPER
26,reg,x,3,38.931503,-119.967569,FLIPPER
26,reg,x,3,38.931576,-119.967639,BASKET
27,reg,x,3,38.931467,-119.967011,FLIPPER
27,reg,x,3,38.931803,-119.967439,FLIPPER
27,reg,x,3,38.932113,-119.967804,FLIPPER
27,reg,x,3,38.932192,-119.967892,FLIPPER
27,reg,x,3,38.932152,-119.967858,BASKET
10,reg,x,3,38.932286,-119.967838,FLIPPER
10,reg,x,3,38.932967,-119.967704,FLIPPER
10,reg,x,3,38.933346,-119.967813,FLIPPER
10,reg,x,3,38.933262,-119.967830,BASKET
11,reg,x,3,38.933317,-119.967351,FLIPPER
11,reg,x,3,38.934283,-119.967608,FLIPPER
11,reg,x,3,38.934256,-119.967517,FLIPPER
11,reg,x,3,38.934265,-119.967484,BASKET
12,reg,x,3,38.934522,-119.967876,FLIPPER
12,reg,x,3,38.934294,-119.966982,FLIPPER
12,reg,x,3,38.934262,-119.966624,FLIPPER
12,reg,x,3,38.934269,-119.966716,FLIPPER
12,reg,x,3,38.934251,-119.966728,BASKET
13,reg,x,3,38.933951,-119.966939,FLIPPER
13,reg,x,3,38.933421,-119.966537,FLIPPER
13,reg,x,3,38.933434,-119.966314,FLIPPER
13,reg,x,3,38.933417,-119.966399,BASKET
14,reg,x,3,38.933259,-119.966871,FLIPPER
14,reg,x,3,38.932466,-119.966621,FLIPPER
14,reg,x,3,38.932350,-119.966724,FLIPPER
14,reg,x,3,38.932387,-119.966723,BASKET
15,reg,x,3,38.932219,-119.966725,FLIPPER
15,reg,x,3,38.932498,-119.967562,FLIPPER
15,reg,x,3,38.932517,-119.967542,BASKET
1,reg,x,3,38.932147,-119.968635,FLIPPER
1,reg,x,3,38.931815,-119.969463,FLIPPER
1,reg,x,3,38.931988,-119.969350,FLIPPER
1,reg,x,3,38.932019,-119.969427,BASKET
2,reg,x,3,38.931686,-119.969712,FLIPPER
2,reg,x,3,38.931235,-119.969187,FLIPPER
2,reg,x,3,38.931237,-119.969037,BASKET
3,reg,x,3,38.931341,-119.969353,FLIPPER
3,reg,x,3,38.930482,-119.969408,FLIPPER
3,reg,x,3,38.930644,-119.969316,FLIPPER
3,reg,x,3,38.930656,-119.969301,BASKET
4,reg,x,3,38.930761,-119.969088,FLIPPER
4,reg,x,3,38.929879,-119.968865,FLIPPER
4,reg,x,3,38.929871,-119.968840,BASKET
