RoundID: 2021-10-04-11-22-33_-_bighorn_ridge
CourseID: bighorn_ridge
CourseName: Bighorn Ridge
Notes: 

hole,tee,pin,par,lat,lon,disc
1,reg,x,3,45.271544,-111.289173,BARELY_KNOW_HER
1,reg,x,3,45.271557,-111.288072,BARELY_KNOW_HER
1,reg,x,3,45.271583,-111.288077,BASKET
2,reg,x,3,45.271508,-111.287824,BARELY_KNOW_HER
2,reg,x,3,45.271523,-111.286793,FLIPPER
2,reg,x,3,45.271733,-111.286471,FLIPPER
2,reg,x,3,45.271724,-111.286439,BASKET
3,reg,x,3,45.271746,-111.286126,FLIPPER
3,reg,x,3,45.271878,-111.287116,FLIPPER
3,reg,x,3,45.271935,-111.286762,FLIPPER
3,reg,x,3,45.271950,-111.286746,BASKET
4,long,x,3,45.272029,-111.287006,BARELY_KNOW_HER
4,long,x,3,45.272283,-111.285745,BARELY_KNOW_HER
4,long,x,3,45.272219,-111.285753,BASKET
5,reg,x,3,45.272423,-111.285686,BARELY_KNOW_HER
5,reg,x,3,45.272284,-111.284698,FLIPPER
5,reg,x,3,45.272361,-111.284769,FLIPPER
5,reg,x,3,45.272360,-111.284808,BASKET
6,reg,x,3,45.272404,-111.284754,BARELY_KNOW_HER
6,reg,x,3,45.272334,-111.284059,BARELY_KNOW_HER
6,reg,x,3,45.272357,-111.284117,BASKET
7,reg,x,3,45.272359,-111.283244,FLIPPER
7,reg,x,3,45.271829,-111.281612,FLIPPER
7,reg,x,3,45.271848,-111.281960,FLIPPER
7,reg,x,3,45.271833,-111.281981,BASKET
8,reg,x,3,45.271881,-111.282465,BARELY_KNOW_HER
8,reg,x,3,45.271328,-111.281750,BARELY_KNOW_HER
8,reg,x,3,45.271479,-111.281755,FLIPPER
8,reg,x,3,45.271455,-111.281784,BASKET
14,reg,x,3,45.271581,-111.282784,BARELY_KNOW_HER
14,reg,x,3,45.271799,-111.283546,BARELY_KNOW_HER
14,reg,x,3,45.271799,-111.283599,BASKET
15,reg,x,3,45.271882,-111.283923,BARELY_KNOW_HER
15,reg,x,3,45.272042,-111.284267,FLIPPER
15,reg,x,3,45.272117,-111.284275,FLIPPER
15,reg,x,3,45.272096,-111.284266,BASKET
16,reg,x,3,45.272284,-111.284780,BARELY_KNOW_HER
16,reg,x,3,45.271954,-111.285010,BARELY_KNOW_HER
16,reg,x,3,45.271930,-111.285075,BASKET
17,reg,x,3,45.271850,-111.285093,BARELY_KNOW_HER
17,reg,x,3,45.271536,-111.285324,FLIPPER
17,reg,x,3,45.271646,-111.285312,FLIPPER
17,reg,x,3,45.271633,-111.285320,BASKET
18,long,x,4,45.271574,-111.285658,BARELY_KNOW_HER
18,long,x,4,45.270814,-111.286376,BARELY_KNOW_HER
18,long,x,4,45.270842,-111.287309,BARELY_KNOW_HER
18,long,x,4,45.270921,-111.287281,BASKET
