Date,CourseID,RoundID,NumHoles,Par,Total,Score
2021-07-26,kit_carson,2021-07-26-08-18-55_-_kit_carson,18,57,54,-3
2021-08-03,sunset_park,2021-08-03-06-23-29_-_sunset_park,24,73,71,-2
2021-08-04,wild_horse,2021-08-04-05-53-07_-_wild_horse,16,54,53,-1
2021-08-10,kit_carson,2021-08-10-06-13-04_-_kit_carson,18,57,50,-7
2021-08-10,kit_carson,2021-08-10-07-31-03_-_kit_carson,18,57,53,-4
2021-08-17,kit_carson,2021-08-17-06-32-08_-_kit_carson,18,55,57,2
2021-08-17,kit_carson,2021-08-17-07-54-13_-_kit_carson,18,55,49,-6
2021-08-18,kit_carson,2021-08-18-06-30-06_-_kit_carson,18,55,50,-5
2021-08-18,kit_carson,2021-08-18-07-58-04_-_kit_carson,18,55,48,-7
2021-08-21,bijou,2021-08-21-10-24-43_-_bijou,27,81,79,-2
2021-09-07,kit_carson,2021-09-07-09-49-43_-_kit_carson,18,58,58,0
2021-09-21,kit_carson,2021-09-21-06-45-25_-_kit_carson,18,57,50,-7
2021-09-27,kit_carson,2021-09-27-07-04-22_-_kit_carson,18,56,50,-6
2021-09-27,kit_carson,2021-09-27-08-41-27_-_kit_carson,18,56,63,7
